transcript_id	gene_id	sample_1	sample_4	sample_7	sample_2	sample_6	sample_3	sample_5	sample_8
ENST00000155093	ENSG00000067646	155.53128	14.10539	0.0	0.0	95.25683	157.0	0.0	114.11475
ENST00000215473	ENSG00000099715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07365
ENST00000250776	ENSG00000129816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000250784	ENSG00000129824	6206.50039	20058.29335	14210.79834	169.0	19153.2936	12961.38935	3.0	14997.86071
ENST00000250805	ENSG00000129845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000250823	ENSG00000129862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000250825	ENSG00000129864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000250831	ENSG00000226941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000250838	ENSG00000182415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000253320	ENSG00000291033	496.62542	190.13185	358.57917	0.0	178.9141	414.70251	0.0	144.49337
ENST00000253470	ENSG00000290381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENST00000253838	ENSG00000131538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000253848	ENSG00000131548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000258589	ENSG00000215506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000262354	ENSG00000228592	6.0	1.16033	5.83333	5.21635	12.0	4.39667	0.5	0.0
ENST00000269844	ENSG00000141956	0.0	0.0	0.0	3.03268	1.05093	0.0	2.0	0.0
ENST00000270112	ENSG00000142149	319.0	272.0	428.0	358.0	210.0	189.0	23.0	270.0
ENST00000270139	ENSG00000142166	1069.16456	1071.14693	1029.85667	943.50255	929.51838	788.74358	202.21259	864.11966
ENST00000270142	ENSG00000142168	55869.53057	215866.13713	149305.27817	191291.02155	191269.40463	101614.77723	12803.71193	183275.48374
ENST00000270162	ENSG00000142178	43.0	20.0	49.0	36.0	0.0	0.0	2.0	36.0
ENST00000270172	ENSG00000142182	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000276770	ENSG00000147753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000276779	ENSG00000147761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000282964	ENSG00000229336	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ENST00000284856	ENSG00000154620	114.0	472.0	428.0	11.0	834.0	233.0	0.0	696.0
ENST00000284878	ENSG00000154639	770.0	422.27329	572.78747	303.79848	448.1881	417.89003	436.0	306.55575
ENST00000284881	ENSG00000154642	532.92563	234.80619	295.75556	703.24636	582.82865	74.78593	1683.71603	127.0
ENST00000284885	ENSG00000154646	0.0	3.0	1.0	1.0	2.0	0.0	4.0	0.0
ENST00000284894	ENSG00000154654	1350.43155	210.80674	258.93713	6.28354	626.27801	15.49147	429.69507	565.22426
ENST00000284971	ENSG00000154723	25234.465	72149.89407	68474.60345	96970.46947	87934.12493	43376.59155	5888.38607	64167.48061
ENST00000284984	ENSG00000154734	32.82554	28.76587	28.95756	79.23519	63.70582	26.57849	161.76447	51.47339
ENST00000284987	ENSG00000154736	28.0	7.0	27.0	21.0	16.0	21.0	4.0	2.0
ENST00000285667	ENSG00000155304	3769.0	2755.0	4374.0	1745.0	2192.0	2191.0	749.0	2154.0
ENST00000285670	ENSG00000155307	46.0	2.23338	0.0	1.42108	5.3215	2.49526	66.42431	0.67392
ENST00000285679	ENSG00000155313	34.50803	300.23699	223.50525	256.101	245.05233	156.92386	12.17295	368.36987
ENST00000285681	ENSG00000155313	0.0	28.8507	8.91735	6.23153	50.36592	19.77185	0.0	62.56224
ENST00000286777	ENSG00000156253	22.57145	81.33389	89.72015	64.35088	79.01447	73.40155	0.0	122.6969
ENST00000286788	ENSG00000156261	943.43901	13229.80867	6413.98672	10490.36438	11579.34565	4737.12554	291.08809	12287.63718
ENST00000286800	ENSG00000156273	397.99359	150.0	372.99999	159.0	220.99999	223.99999	155.0	146.71429
ENST00000286808	ENSG00000156282	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000286827	ENSG00000156299	998.96338	613.29335	409.23715	697.88939	478.55928	737.21506	292.0	465.88754
ENST00000286835	ENSG00000156304	645.15433	344.45205	757.56235	311.39025	385.2864	301.27177	381.90893	219.0911
ENST00000287721	ENSG00000229549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000288319	ENSG00000157554	0.0	98.08037	39.82893	81.58541	108.61518	146.24478	0.0	302.17738
ENST00000288344	ENSG00000205581	13.28123	27.2753	64.7866	21.27797	92.41212	46.41149	32.52435	6.67167
ENST00000288350	ENSG00000157578	14.01344	0.0	0.0	2.87395	5.65925	0.0	0.0	4.75113
ENST00000288383	ENSG00000157601	0.0	0.0	0.0	0.0	0.0	1.79401	0.0	6.83751
ENST00000290130	ENSG00000159055	360.0	233.0	305.0	313.0	298.0	215.0	141.0	307.0
ENST00000290155	ENSG00000159079	1205.72336	2387.88895	2533.80732	2023.69669	2635.099	1719.43523	380.64284	2304.5669
ENST00000290178	ENSG00000159086	12.13163	5.92458	10.37428	3.076	8.67778	8.64463	16.3776	7.53535
ENST00000290200	ENSG00000243646	396.0	375.89807	401.91232	300.0	250.96004	308.0	345.0	329.0
ENST00000290219	ENSG00000159128	1755.60572	1295.67677	2169.10676	1029.81997	1133.95658	857.54306	392.00296	1036.05387
ENST00000290239	ENSG00000284448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000290244	ENSG00000205758	13.98609	54.5213	22.0743	17.89985	29.54269	42.62773	0.00001	15.83759
ENST00000290299	ENSG00000241837	19145.35762	84340.65836	58489.58189	78599.2798	76167.59295	37692.66422	4601.98947	74118.00477
ENST00000290310	ENSG00000159197	3.0	8.0	8.0	7.0	18.0	4.0	3.0	10.0
ENST00000290349	ENSG00000159228	4841.1407	9227.79369	9193.16124	13810.53898	11732.86837	6246.85727	9372.07537	6744.39983
ENST00000290354	ENSG00000159231	276.0	789.0	852.0	757.0	660.0	488.0	55.0	661.0
ENST00000290399	ENSG00000159263	187.0	44.0	113.0	50.0	45.0	49.0	26.0	39.0
ENST00000291526	ENSG00000160181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000291527	ENSG00000160182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000291535	ENSG00000160185	1.33333	0.0	0.0	0.0	0.33333	0.0	0.0	0.0
ENST00000291536	ENSG00000160188	323.55249	630.5138	737.90566	360.55777	500.71611	636.955	19.0	193.3872
ENST00000291539	ENSG00000160191	3.79054	7.54609	28.36643	19.56414	43.04009	51.77986	0.56702	13.5187
ENST00000291547	ENSG00000160199	67.64262	356.13165	563.85125	370.89299	447.81631	520.49327	170.11801	338.20546
