iteration,elapsed_time_python_save
1,123.14620161056519
2,122.0385160446167
3,126.23134469985962
4,132.2597599029541
5,124.11880445480347
6,137.4016375541687
7,132.34060072898865
8,126.92266297340393
9,119.08351349830627
10,127.02415490150452
11,124.475998878479
12,122.90588045120239
13,121.70584392547607
14,123.95491003990173
15,124.82770276069641
16,122.68050742149353
17,128.60330200195312
18,126.78966236114502
19,124.83859515190125
20,121.83581352233887
21,122.06418752670288
22,126.85022330284119
23,121.90588164329529
24,120.21814060211182
25,121.41151261329651
26,120.66846966743469
27,118.34970879554749
28,120.10251069068909
29,121.05912971496582
30,120.36620473861694
31,123.31419801712036
32,121.04262828826904
33,120.21110272407532
34,119.23729681968689
35,119.66984724998474
36,119.69426465034485
37,121.04956388473511
38,121.26340389251709
39,120.99923658370972
40,120.34604930877686
41,121.2565712928772
42,119.30603885650635
43,122.41231632232666
44,122.19455122947693
45,122.09582996368408
46,121.58685159683228
47,121.70290279388428
48,121.50083494186401
49,120.78453254699707
50,119.86923742294312
51,120.7641851902008
52,121.93801188468933
53,121.23827290534973
54,121.60015797615051
55,120.52561092376709
56,122.80835294723511
57,122.06075811386108
58,122.84275102615356
59,121.86769700050354
60,123.22256112098694
61,125.69341254234314
62,124.06804656982422
63,123.20437836647034
64,122.30893588066101
65,123.79217648506165
66,122.2321503162384
67,119.57473492622375
68,119.44551587104797
69,120.33043932914734
70,119.70501017570496
71,119.22887372970581
72,120.54577851295471
73,120.87070822715759
74,121.3899302482605
75,118.28260087966919
76,119.30394983291626
77,118.50510883331299
78,121.84821510314941
79,121.67062902450562
80,119.16011762619019
81,118.8027548789978
82,118.81300258636475
83,121.09891676902771
84,119.81175589561462
85,122.57881569862366
86,119.99205899238586
87,118.3807921409607
88,118.26767683029175
89,118.02492833137512
90,119.21256971359253
91,118.31450772285461
92,120.8374559879303
93,118.72945499420166
94,118.29570651054382
95,117.66347908973694
96,118.45873832702637
97,120.88383531570435
98,118.21574974060059
99,123.10785555839539
100,119.05708432197571
